Modello,Marca,Anno,Tipo,Cavalli,Consumo medio (L/100km),Paese di produzione
Golf VIII,Volkswagen,2021,Berlina,130,5.1,Germania
Panda,Fiat,2020,Citycar,69,4.9,Italia
Model 3,Tesla,2022,Berlina,283,0.0 (elettrica),USA
Qashqai,Nissan,2021,SUV,140,6.2,Regno Unito
208,Peugeot,2022,Hatchback,100,4.5,Francia
Yaris Cross,Toyota,2023,SUV,116,4.7,Giappone
A4,Audi,2022,Berlina,150,5.7,Germania
Clio V,Renault,2021,Hatchback,90,4.3,Francia
CX-5,Mazda,2021,SUV,165,6.8,Giappone
XC60,Volvo,2022,SUV,250,7.1,Svezia
500e,Fiat,2023,Citycar,118,0.0 (elettrica),Italia
Serie 3,BMW,2022,Berlina,184,5.6,Germania
Tucson,Hyundai,2022,SUV,150,6.4,Corea del Sud
Sportage,Kia,2023,SUV,160,6.3,Corea del Sud
Polo,Volkswagen,2021,Hatchback,95,4.8,Germania
Giulia,Alfa Romeo,2022,Berlina,200,6.0,Italia
Corsa,Opel,2022,Hatchback,100,4.7,Germania
Leaf,Nissan,2022,Hatchback,150,0.0 (elettrica),Giappone
Outlander PHEV,Mitsubishi,2021,SUV,224,2.0 (plug-in hybrid),Giappone
Sandero,Dacia,2021,Hatchback,90,5.0,Romania
Aygo X,Toyota,2022,Citycar,72,4.8,Repubblica Ceca
Talisman,Renault,2020,Berlina,160,5.5,Francia
EQA,Mercedes-Benz,2023,SUV,190,0.0 (elettrica),Germania
Forester,Subaru,2022,SUV,150,6.7,Giappone
Leon,SEAT,2021,Hatchback,130,5.2,Spagna
